,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 22 (Cell cycle),Benjamini-Hochberg adjusted regression p of GEP 22 vs r hsc,Bonferroni adjusted regression p of GEP 22 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 22 vs r prog,Bonferroni adjusted regression p of GEP 22 vs r prog
125,MT.ND4,-0.069110378064182,4.354334175991517e-08,0.0963205321697731,2.1428048627502002e-65,-0.00178054,0.999775974942421,1.0,0.5971422544291973,1.0
126,MT.ND4L,-0.0445273723645594,0.0041963399034880555,0.0334213127496244,1.7669644742209263e-08,-0.000325332,0.999775974942421,1.0,0.9831285273395207,1.0
127,MT.ND5,-0.0549744166608385,5.820102854249087e-05,0.0720091065993538,8.703126724399686e-37,-0.001015425,0.999775974942421,1.0,0.9831285273395207,1.0
128,MT.RNR1,-0.0611627910979506,3.2502637872246523e-06,0.037626727097408,1.4730333030132137e-10,-0.000121293,0.999775974942421,1.0,0.9831285273395207,1.0
129,MT.RNR2,-0.0698569604769241,2.9668189819394737e-08,0.0964494345560907,1.4357156335321804e-65,-0.000473294,0.999775974942421,1.0,0.9831285273395207,1.0
130,MTRNR2L12,-0.0684168592938232,6.47749550983838e-08,0.1096023896434812,1.324602683201436e-84,-0.00038058,0.999775974942421,1.0,0.9831285273395207,1.0
131,MYL12A,-0.0381566475640874,0.03427681863973933,0.1174950917411877,3.1371333321950115e-97,0.000376061,0.999775974942421,1.0,0.9831285273395207,1.0
132,MYL6,-0.0375994661458683,0.04017900482648323,0.11627531614031,3.20492942016067e-95,0.000664591,0.999775974942421,1.0,0.9831285273395207,1.0
133,MZT1,0.0639861113121683,7.545423520703758e-07,0.1889323953905552,1.5222429419360325e-253,0.002873828,0.999775974942421,1.0,0.9831285273395207,1.0
134,NACA,-0.0543202852504435,7.86182290637488e-05,0.062977511574093,2.674972114166362e-28,-0.001684846,0.999775974942421,1.0,0.9831285273395207,1.0
135,NBEAL1,-0.0376074605722685,0.04017900482648323,-0.0412433673744177,1.5457030660498645e-12,-0.00051869,0.999775974942421,1.0,0.6961764874186491,1.0
136,NCAPG,0.1067042669009085,6.894155750003469e-21,0.3532075364308977,0.0,0.005026924,0.999775974942421,1.0,0.9831285273395207,1.0
137,NDC80,-0.0435719477620841,0.005904549214756526,0.2010372834659866,9.83284809744076e-288,0.002181256,0.999775974942421,1.0,0.9831285273395207,1.0
138,NEK2,0.0570794464545663,2.290615391011255e-05,0.2606561814688512,0.0,0.004238473,0.999775974942421,1.0,0.9910687541057788,1.0
139,NFKBIA,-0.0596629643196529,6.716988958330732e-06,0.0815465331994955,5.186572450994458e-47,-0.000229972,0.999775974942421,1.0,0.9831285273395207,1.0
140,NME2,-0.0385857675361038,0.03036116927646711,0.0184735372559455,0.004582572975366394,-0.000717264,0.999775974942421,1.0,0.9831285273395207,1.0
141,NUCKS1,0.091307038144981,6.979898828394278e-15,0.426868118740939,0.0,0.007561796,0.999775974942421,1.0,0.9831285273395207,1.0
142,NUSAP1,0.1078163234547786,2.646513822629946e-21,0.5761847586149288,0.0,0.011633792,0.16765659087061013,1.0,0.9831285273395207,1.0
