,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 15 (DNA Replication),Benjamini-Hochberg adjusted regression p of GEP 15 vs r hsc,Bonferroni adjusted regression p of GEP 15 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 15 vs r prog,Bonferroni adjusted regression p of GEP 15 vs r prog
107,AC004125.3,-0.0291721398992866,0.0166104086895097,-0.0174409077426722,0.0036018752823223066,-7.38e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
108,AC004158.3,-0.0288810767434135,0.017808727468115508,-0.0132046742863093,0.029228730092288515,-9.96e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
109,AC004448.5,-0.0432764347155542,0.000214370748336987,-0.0371976780119796,1.1558571308336079e-10,-0.000191639,0.9999771431101689,1.0,0.9999471363027878,1.0
110,AC004535.2,-0.0900080972742526,2.510875564283909e-16,-0.0523121302316446,4.0724440460948026e-20,-0.000302083,0.9999771431101689,1.0,0.9999471363027878,1.0
111,AC004538.3,-0.0339223761869486,0.004683662207656781,-0.0369059757751511,1.6375045106379086e-10,-0.000155449,0.9999771431101689,1.0,0.9999471363027878,1.0
112,AC004692.4,-0.0305927713924166,0.011583949758630025,-0.0231527910879785,8.88934149405946e-05,-0.000123484,0.9999771431101689,1.0,0.9999471363027878,1.0
113,AC004837.5,-0.063789376954774,1.5280006796343548e-08,-0.0553766015848268,1.9921376189634262e-22,-0.00015095,0.9999771431101689,1.0,0.9999471363027878,1.0
114,AC004862.6,-0.043412826897991,0.00020372116229801357,-0.033604149043445,6.83822170721109e-09,-0.000167776,0.9999771431101689,1.0,0.9999471363027878,1.0
115,AC004906.3,-0.0309508814688625,0.010569202856775173,-0.0201999028028969,0.0006846027071477614,-8.84e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
116,AC004947.2,-0.0332641640435402,0.005641275670881969,-0.0231975708917312,8.598570884788394e-05,-0.000134522,0.9999771431101689,1.0,0.9999471363027878,1.0
117,AC005008.2,-0.0387669369893912,0.0010418908472524754,-0.0240036279254421,4.691249731531488e-05,-0.000150544,0.9999771431101689,1.0,0.9999471363027878,1.0
118,AC005013.5,-0.0264822795539013,0.031374346247590244,-0.0150770558376802,0.012371490664374242,-0.000100265,0.9999771431101689,1.0,0.9999471363027878,1.0
119,AC005042.4,-0.0579355868889802,3.456169468992537e-07,-0.0343644328692994,2.989997153374634e-09,-0.000148204,0.9999771431101689,1.0,0.9999471363027878,1.0
120,AC005062.2,-0.0416694521803811,0.0003842257246447098,-0.0182817504732554,0.002230081245003118,3.01e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
